question,answer,final_answer,dynamic
464,What are the ILS - High School Library hours ?,the ils - high school library is open on weekdays: 8:00 am - 5:00 pm (no noon break) and saturdays: 8:00 am - 5:00 pm (no noon break),The ILS - High School Library is open on Weekdays: 8:00 AM - 5:00 PM (no NOON BREAK) and Saturdays: 8:00 AM - 5:00 PM (no NOON BREAK),0
465,What time does the BUGC Library opens and closes?,the ils - high school library is open on weekdays: 8:00 am - 5:00 pm (no noon break) and saturdays: 8:00 am - 5:00 pm (no noon break),The ILS - High School Library is open on Weekdays: 8:00 AM - 5:00 PM (no NOON BREAK) and Saturdays: 8:00 AM - 5:00 PM (no NOON BREAK),0
466,What are the college of education or CE library hours?,the college of education library is open on weekdays: 8:00 am - 6:00 pm (no noon break) and saturdays: 8:00 am - 5:00 pm (no noon break),The College of Education Library is open on Weekdays: 8:00 AM - 6:00 PM (no NOON BREAK) and Saturdays: 8:00 AM - 5:00 PM (no NOON BREAK),0
467,What time does the College of education Library opens and closes?,the college of education library is open on weekdays: 8:00 am - 6:00 pm (no noon break) and saturdays: 8:00 am - 5:00 pm (no noon break),The College of Education Library is open on Weekdays: 8:00 AM - 6:00 PM (no NOON BREAK) and Saturdays: 8:00 AM - 5:00 PM (no NOON BREAK),0
468,What are the daraga campus library hours?,the daraga campus library is open on weekdays: 8:00 am - 6:00 pm (no noon break) and saturdays: 9:00 am - 4:00 pm (no noon break),The Daraga Campus Library is open on Weekdays: 8:00 AM - 6:00 PM (no NOON BREAK) and Saturdays: 9:00 AM - 4:00 PM (no NOON BREAK),0
469,What time does the Daraga campus Library opens and closes?,the daraga campus library is open on weekdays: 8:00 am - 6:00 pm (no noon break) and saturdays: 9:00 am - 4:00 pm (no noon break),The Daraga Campus Library is open on Weekdays: 8:00 AM - 6:00 PM (no NOON BREAK) and Saturdays: 9:00 AM - 4:00 PM (no NOON BREAK),0
470,What are the BUCAF library hours?,the bucaf library is open on weekdays: 7:00 am - 6:00 pm (no noon break) and saturdays: 8:00 am - 5:00 pm (no noon break),The BUCAF library is open on Weekdays: 7:00 AM - 6:00 PM (no NOON BREAK) and Saturdays: 8:00 AM - 5:00 PM (no NOON BREAK),0
471,What time does the BUCAF Library opens and closes?,the bucaf library is open on weekdays: 7:00 am - 6:00 pm (no noon break) and saturdays: 8:00 am - 5:00 pm (no noon break),The BUCAF library is open on Weekdays: 7:00 AM - 6:00 PM (no NOON BREAK) and Saturdays: 8:00 AM - 5:00 PM (no NOON BREAK),0
472,What are the BUPC library hours?,the bupc library is open on weekdays: 8:00 am - 5:00 pm (no noon break) and saturdays: 8:00 am - 5:00 pm (no noon break),The BUPC library is open on Weekdays: 8:00 AM - 5:00 PM (no NOON BREAK) and Saturdays: 8:00 AM - 5:00 PM (no NOON BREAK),0
473,What time does the BUPC Library opens and closes?,the bupc library is open on weekdays: 8:00 am - 5:00 pm (no noon break) and saturdays: 8:00 am - 5:00 pm (no noon break),The BUPC library is open on Weekdays: 8:00 AM - 5:00 PM (no NOON BREAK) and Saturdays: 8:00 AM - 5:00 PM (no NOON BREAK),0
474,What are the Gubat campus or BUGC library hours?,the bugc library is open on weekdays: 8:00 am - 5:00 pm (no noon break) and saturdays: 8:00 am - 5:00 pm (no noon break),The BUGC Library is open on Weekdays: 8:00 AM - 5:00 PM (no NOON BREAK) and Saturdays: 8:00 AM - 5:00 PM (no NOON BREAK),0
475,What time does the BUGC Library opens and closes?,the bugc library is open on weekdays: 8:00 am - 5:00 pm (no noon break) and saturdays: 8:00 am - 5:00 pm (no noon break),The BUGC Library is open on Weekdays: 8:00 AM - 5:00 PM (no NOON BREAK) and Saturdays: 8:00 AM - 5:00 PM (no NOON BREAK),0
476,Are outsiders allowed to enter the university library?,"yes, but must pay for a library fee depending on the classification of the researcher or external user.","Yes, but must pay for a library fee depending on the classification of the researcher or external user.",0
477,What are the requirements for outsiders in entering the university library?,"you must present your validated school/office id, referral letter issued by your librarian or administrator and any valid id (voter's, postal, driver's license) for walk-in/non-academe-based researchers and out-of-school youths","You must present your Validated School/Office ID, Referral letter issued by your librarian or administrator and any Valid ID (Voter's, Postal, Driver's License) for Walk-in/Non-Academe-based Researchers and Out-of-School Youths",0
478,How much is the library fee for outsiders or external researchers?,"the researcher's fee (1) undergraduate - php 30.00/day, (2) graduate - php 50.00/day, (3) walk-in/non-academe based - php 100.00/day","The researcher's fee (1) Undergraduate - Php 30.00/day, (2) Graduate - Php 50.00/day, (3) Walk-in/Non-academe based - Php 100.00/day",0
479,Bicol University Library website,here's the link to the website: https://sites.google.com/bicol-u.edu.ph/buls/home,Here's the link to the website: https://sites.google.com/bicol-u.edu.ph/buls/home,0
480,What medical services does the BU Medical Clinic offers?,the medical & dental clinic provides the basic health services to the students and personnel namely: 1. conduct of physical health examination; 2. giving attention to daily consultations and treatments; 3. issuance of medical certificates; . giving attention to emergency cases/during athletics; 5. making referrals of special cases to proper authorities; 6. conduct of lectures/counseling on management of illness; and 7. establishment of linkages among other health agencies.,The Medical & Dental Clinic provides the basic health services to the students and personnel namely: 1. Conduct of Physical Health Examination; 2. Giving attention to daily consultations and treatments; 3. Issuance of medical certificates; . Giving attention to emergency cases/during athletics; 5. Making referrals of special cases to proper authorities; 6. Conduct of lectures/counseling on management of illness; and 7. Establishment of linkages among other health agencies.,0
481,What dental services does the BU Dental Clinic offers?,"the medical and dental clinic provides services like: 1. conduct of annual dental examination for elementary, high school & senior high school students; 2. giving attention to dental consultations and treatments; 3. performance of oral prophylaxis; 4. performance of dental extraction; 5. making referrals of special cases to proper authorities; 6. conduct of chair side instruction/ lectures; and 6. issuance of dental certificates.","The Medical and Dental Clinic provides services like: 1. Conduct of Annual Dental Examination for Elementary, High School & Senior High School Students; 2. Giving attention to dental consultations and treatments; 3. Performance of oral prophylaxis; 4. Performance of dental extraction; 5. Making referrals of special cases to proper authorities; 6. Conduct of chair side instruction/ lectures; and 6. Issuance of dental certificates.",0
482,How can I avail the medical and dental services from BU Medical and Dental Clinic?,you are required to present your university id to avail of these free health services.,You are required to present your university ID to avail of these free health services.,0
483,What are the university Medical and Dental Clinic hours?,"the university medical and dental clinic is open from monday to friday (8:00-12:00 am, 1:00-8:00 pm) and saturday (8:00-12:00 am).","The university Medical and Dental Clinic is open from Monday to Friday (8:00-12:00 AM, 1:00-8:00 PM) and Saturday (8:00-12:00 AM).",0
484,Where is the BU Medical & Dental Services (Main Clinic) is located,"the bu medical & dental services (main clinic) is located in the buce campus and it has six sub- clinics situated in the different campuses ready to serve the university populace namely: bupc- polangui, bucaf-guinobatan, bucbem & bucssp in daraga, bugc in gubat, bucit-buceng in albay, and butc - tabaco city.","The BU Medical & Dental Services (Main Clinic) is located in the BUCE Campus and it has six sub- clinics situated in the different campuses ready to serve the university populace namely: BUPC- Polangui, BUCAF-Guinobatan, BUCBEM & BUCSSP in Daraga, BUGC in Gubat, BUCIT-BUCEng in Albay, and BUTC - Tabaco City.",0
485,Is there a random drug testing in Bicol University?,"yes, the university also conforms to the comprehensive dangerous drugs act of 2002 (r.a. 9165) and will abide with the provisions stipulated therein. provided that all drug testing expenses whether in public or private schools under this section will be borne by the government.","Yes, the University also conforms to the Comprehensive Dangerous Drugs Act of 2002 (R.A. 9165) and will abide with the provisions stipulated therein. Provided that all drug testing expenses whether in public or private schools under this section will be borne by the government.",0
486,Can the students use the Sports and Recreational Facilities of the university?,"yes, the sports and recreational facilities as basketball courts, oval for track and field, volleyball court, soccer field and swimming pool can be availed of by students and personnel. the students' id cards issued by bicol university entitle them to use these facilities.","Yes, the sports and recreational facilities as basketball courts, oval for track and field, volleyball court, soccer field and swimming pool can be availed of by students and personnel. The students' ID cards issued by Bicol University entitle them to use these facilities.",0
487,What are the sanctions or penalties for violating the university rules and regulation?,"the sanction for first offense is reprimand, for second offense is written warning, and for third offense is community service and for fourth offense - suspension for 7 to 14 days","The sanction for First Offense is Reprimand, for Second Offense is Written Warning, and for Third Offense is Community Service and for Fourth Offense - Suspension for 7 to 14 days",0
488, Is Bicol University smoke free?,"yes, bicol university strictly observes a smoke-free environment and smoking at any time within the university premises is prohibited.","Yes, Bicol University strictly observes a smoke-free environment and smoking at any time within the university premises is prohibited.",0
489,Are students required to attend university academic activities?,"yes, students are required to attend university academic activities conducted within the university and even those activities conducted by the university outside its premises.","Yes, students are required to attend university academic activities conducted within the university and even those activities conducted by the university outside its premises.",0
490,Are students excused from classes if they participate in co-curricular activities?,their participation shall excuse them only for the time missed in class and shall not excuse them from fulfilling other requirements by the university. their participation shall be their own personal responsibility.,Their participation shall excuse them only for the time missed in class and shall not excuse them from fulfilling other requirements by the university. Their participation shall be their own personal responsibility.,0
491,Are students allowed to participate in activities outside the university?,"no student may participate in an outside activity (contest, play, band, orchestra, choir conference, congress) nor may join any association, club and similar groups as a representative of the bicol university without being so authorized in writing by the dean of the college/unit.","No student may participate in an outside activity (contest, play, band, orchestra, choir conference, congress) nor may join any association, club and similar groups as a representative of the Bicol University without being so authorized in writing by the Dean of the College/Unit.",0
492,Can I wear my PE uniform in attending my classes?,"the p.e. uniform is to be worn only during p.e. classes or games on the campus, not during academic classes. students are required to wear the prescribed uniform while inside the premises of the university, except during non-uniform days.","The P.E. uniform is to be worn only during P.E. classes or games on the campus, not during academic classes. Students are required to wear the prescribed uniform while inside the premises of the university, except during non-uniform days.",0
493,What are the inappropriate attires not allowed to wear on wash day?,"inappropriate attire are those that are contrary to the culturally acceptable attire which includes but not limited to the following: blouse with bare back, bare midriffs, low or plunging neckline, spaghetti straps, haltered, hanging blouse, see-through garments, sleeveless shirt (for men), very short skits/dresses, very low-rise jeans, shorts, beach and japanese sandals and slippers.","Inappropriate attire are those that are contrary to the culturally acceptable attire which includes but not limited to the following: blouse with bare back, bare midriffs, low or plunging neckline, spaghetti straps, haltered, hanging blouse, see-through garments, sleeveless shirt (for men), very short skits/dresses, very low-rise jeans, shorts, beach and Japanese sandals and slippers.",0
494,I lost my ID,"if you lost your id card, you must be reported immediately to osas or office of the student affairs and services.","If you lost your ID card, you must be reported immediately to OSAS or Office of the Student Affairs and Services.",0
495,What are the sanctions or penalties for bullying?,"the sanctions for bullying in first offense is reprimand, for second offense is suspension of 3 months and 1 day to 6 months, and for third offense is suspension of 6 months and 1 day to 1 year.","The sanctions for Bullying in First Offense is Reprimand, for Second Offense is Suspension of 3 months and 1 day to 6 months, and for Third Offense is Suspension of 6 months and 1 day to 1 year.",0
496,What are the sanctions or penalties for Carrying of firearms and other Dangerous Weapons?,"the sanctions for carrying of firearms and other dangerous weapons in first offense is suspension of 1 week - 6 months, for second offense is suspension of 6 months and 1 day to 1 year, and for third offense - dismissal.","The sanctions for Carrying of firearms and other Dangerous Weapons in First Offense is Suspension of 1 week - 6 months, for Second Offense is Suspension of 6 months and 1 day to 1 year, and for Third Offense - Dismissal.",0
497,What are the sanctions or penalties for Creating Disorder or Disturbance within the University?,"the sanctions for creating disorder or disturbance within the university in first offense is suspension of 1 week - 6 months, for second offense is suspension of 6 months and 1 day to 1 year, and for third offense is dismissal.","The sanctions for Creating Disorder or Disturbance within the University in First Offense is Suspension of 1 week - 6 months, for Second Offense is Suspension of 6 months and 1 day to 1 year, and for Third Offense is Dismissal.",0
498,"What are the sanctions or penalties for Destruction of Any Property of the University, Its Guests, Employees or Students?","the sanctions for destruction of any property of the university, its guests, employees or students in first offense is suspension of 1 week - 6 months and payment of the value involved and/or replacement of the damaged property, for second offense is suspension of 6 months and 1 day to 1 year and payment of the value involved and/or replacement of the damaged property, and for third offense is dismissal","The sanctions for Destruction of Any Property of the University, Its Guests, Employees or Students in First Offense is Suspension of 1 week - 6 months and payment of the value involved and/or replacement of the damaged property, for Second Offense is Suspension of 6 months and 1 day to 1 year and payment of the value involved and/or replacement of the damaged property, and for Third Offense is Dismissal",0
499,What are the sanctions or penalties for Drinking of Alcoholic Beverages or Manifesting Drunken Behavior within the university premises?,"the sanction for drinking of alcoholic beverages or manifesting drunken behavior within the university premises in first offense is reprimand, for second offense is suspension of 3 months and 1 day to 6 months, and for third offense is dismissal.","The sanction for Drinking of Alcoholic Beverages or Manifesting Drunken Behavior within the university premises in First Offense is Reprimand, for Second Offense is Suspension of 3 months and 1 day to 6 months, and for Third Offense is Dismissal.",0
500,What are the sanctions or penalties for Falsification of Official Document?,the sanction for falsification of official document in first offense is dismissal.,The sanction for Falsification of Official Document in First Offense is Dismissal.,0
501,What are the sanctions or penalties for Gambling?,"the sanction for gambling in first offense is reprimand, for second offense is suspension of 3 months and 1 day to 6 months and for third offense is dismissal.","The sanction for Gambling in First Offense is Reprimand, for Second Offense is Suspension of 3 months and 1 day to 6 months and for Third Offense is Dismissal.",0
502,What are the sanctions or penalties for Hazing of any variety inside or outside the premises of the Bicol University by any fraternity or sorority or individual or a group representing an accredited B.U. Organization?,the sanction for hazing of any variety inside or outside the premises of the bicol university by any fraternity or sorority or individual or a group representing an accredited b.u. organization in first offense is dismissal.,The sanction for Hazing of any variety inside or outside the premises of the Bicol University by any fraternity or sorority or individual or a group representing an accredited B.U. Organization in First Offense is Dismissal.,0
503,What are the sanctions or penalties for Malversation or Unlawful Disbursement of school funds?,"the sanction for unlawful disbursement of school funds in first offense is suspension 1 week - 6 months and payment of the value involved, for second offense is suspension 6 months and 1 day to 1 year and payment of the value involved, and for third offense is dismissal.","The sanction for Unlawful Disbursement of school funds in First Offense is Suspension 1 week - 6 months and payment of the value involved, for Second Offense is Suspension 6 months and 1 day to 1 year and payment of the value involved, and for Third Offense is Dismissal.",0
504,What are the sanctions or penalties for Plagiarism?,"the sanctions for plagiarism in first offense are 1. written warning; or 2. loss of credit for the work involved; 3. reduction of grades; or 4. all of the foregoing penalties - depending on the extent of the act committed, subject to the discretion of the investigating committee, for second offense is suspension 6 months and 1 day to 1 year, and for third offense is dismissal.","The sanctions for Plagiarism in First Offense are 1. Written warning; or 2. Loss of credit for the work involved; 3. Reduction of grades; or 4. All of the foregoing penalties - depending on the extent of the act committed, subject to the discretion of the investigating committee, for Second Offense is Suspension 6 months and 1 day to 1 year, and for Third Offense is Dismissal.",0
505,What are the sanctions or penalties for Possession of prohibited drugs or chemicals?,"the sanction for possession of prohibited drugs or chemicals in first offense is suspension of 1 week to 6 months, for second offense is suspension of 6 months and 1 day to 1 year, and for third offense is dismissal.","The sanction for Possession of prohibited drugs or chemicals in First Offense is Suspension of 1 week to 6 months, for Second Offense is Suspension of 6 months and 1 day to 1 year, and for Third Offense is Dismissal.",0
506,What are the sanctions or penalties for Photo or Video Voyeurism?,"the sanction for photo or video voyeurism in first offense is suspension 6 months and 1 day to 1 year, and for second offense is dismissal.","The sanction for Photo or Video Voyeurism in First Offense is Suspension 6 months and 1 day to 1 year, and for Second Offense is Dismissal.",0
507,What are the sanctions or penalties for Sexual Harassment?,"the sanction for sexual harassment in first offense is suspension of not more than 30 calendar days, for second offense is suspension of 1 to 2 semesters, and for third offense is dismissal.","The sanction for Sexual Harassment in First Offense is Suspension of not more than 30 calendar days, for Second Offense is Suspension of 1 to 2 semesters, and for Third Offense is Dismissal.",0
508,What are the sanctions or penalties for Stalking?,"the sanction for stalking in first offense is reprimand, for second offense is suspension of 6 months and 1 day to 1 year, and for third offense is dismissal.","The sanction for Stalking in First Offense is Reprimand, for Second Offense is Suspension of 6 months and 1 day to 1 year, and for Third Offense is Dismissal.",0
509,What are the sanctions or penalties for Theft of property belonging to the University community or a guest of the University?,"the sanction for theft of property belonging to the university community or a guest of the university in first offense is suspension of 1 week to 6 months, for second offense is suspension 6 months and 1 day to 1 year, and for third offense is dismissal.","The sanction for Theft of property belonging to the University community or a guest of the University in First Offense is Suspension of 1 week to 6 months, for Second Offense is Suspension 6 months and 1 day to 1 year, and for Third Offense is Dismissal.",0
510,What are the sanctions or penalties for Unauthorized solicitation of contribution/ donation using the name of the University?,"the sanction for unauthorized solicitation of contribution/ donation using the name of the university in first offense is suspension 1 week to 6 months, for second offense is suspension 6 months and 1 day to 1 year , and for third offense is dismissal.","The sanction for Unauthorized solicitation of contribution/ donation using the name of the University in First Offense is Suspension 1 week to 6 months, for Second Offense is Suspension 6 months and 1 day to 1 year , and for Third Offense is Dismissal.",0
511,How to contact the BU ICTO?,you may contact them through email bu-icto@bicol-u.edu.ph or ictohelpdesk@bicol-u.edu.ph and contact number 09686883046.,You may contact them through email bu-icto@bicol-u.edu.ph or ictohelpdesk@bicol-u.edu.ph and contact number 09686883046.,0
512,Contact Number of BU ICTO,you may contact them through email bu-icto@bicol-u.edu.ph or ictohelpdesk@bicol-u.edu.ph and contact number 09686883046.,You may contact them through email bu-icto@bicol-u.edu.ph or ictohelpdesk@bicol-u.edu.ph and contact number 09686883046.,0
513,Email Address of BU Information and Communications Technology Office,you may contact them through email bu-icto@bicol-u.edu.ph or ictohelpdesk@bicol-u.edu.ph and contact number 09686883046.,You may contact them through email bu-icto@bicol-u.edu.ph or ictohelpdesk@bicol-u.edu.ph and contact number 09686883046.,0
514,I have a problem with my BU email,please contact the bu icto for your technical concerns. you can also fill up this form https://forms.gle/qdvnlk8ecsdwxs3r9,Please contact the BU ICTO for your technical concerns. You can also fill up this form https://forms.gle/QDvNLK8eCSDWxs3r9,0
515,I have a problem with my ORS,please contact the bu icto for your technical concerns. you can also fill up this form https://forms.gle/qdvnlk8ecsdwxs3r9,Please contact the BU ICTO for your technical concerns. You can also fill up this form https://forms.gle/QDvNLK8eCSDWxs3r9,0
516,What are the sanctions or penalties for Discourtesy to Superior?,"the sanction for discourtesy to superior in first offense is reprimand, for second offense is suspension of 1 week to 6 months, and for third offense is dismissal.","The sanction for Discourtesy to Superior in First Offense is Reprimand, for Second Offense is Suspension of 1 week to 6 months, and for Third Offense is Dismissal.",0
517,What are the sanctions or penalties for Disgraceful and immoral conduct?,"the sanction for disgraceful and immoral conduct in first offense is suspension of 1 week to 6 months, for second offense is suspension of 6 months and 1 day to 1 year, and for third offense is dismissal.","The sanction for Disgraceful and immoral conduct in First Offense is Suspension of 1 week to 6 months, for Second Offense is Suspension of 6 months and 1 day to 1 year, and for Third Offense is Dismissal.",0
518,What are the levels of Dishonesty?,"there are 3 levels of dishonesty: serious, less serious and simple dishonesty. what level of dishonesty?","There are 3 levels of dishonesty: Serious, Less Serious and Simple Dishonesty. What level of dishonesty?",0
519,What are the sanctions or penalties for Serious Dishonesty?,the sanction for serious dishonesty in first offense is dismissal.,The sanction for Serious Dishonesty in First Offense is Dismissal.,0
520,What are the sanctions or penalties for Less Serious Dishonesty,"the sanction for less serious dishonesty in first offense is suspension of 6 months and 1 day for 1 year, and for second offense is dismissal.","The sanction for Less Serious Dishonesty in First Offense is Suspension of 6 months and 1 day for 1 year, and for Second Offense is Dismissal.",0
521,What are the sanctions or penalties for Simple Dishonesty,"the sanction for simple dishonesty in first offense is suspension of 1 month and 1 day to 6 months, for second offense is suspension of 6 months and 1 day to 1 year, and for third offense is dismissal.","The sanction for Simple Dishonesty in First Offense is Suspension of 1 month and 1 day to 6 months, for Second Offense is Suspension of 6 months and 1 day to 1 year, and for Third Offense is Dismissal.",0
522,What are the scholarship opportunities for students?,there are a total of 31 externally-funded scholarships. you can inquire directly at the osas for available scholarship and their requirements.,There are a total of 31 Externally-Funded Scholarships. You can inquire directly at the OSAS for available scholarship and their requirements.,0
523,Available Scholarships,there are a total of 31 externally-funded scholarships. you can inquire directly at the osas for available scholarship and their requirements.,There are a total of 31 Externally-Funded Scholarships. You can inquire directly at the OSAS for available scholarship and their requirements.,0
524,Core values of Bicol University,"the core values of the university are scholarship, leadership, character, and service.","The core values of the university are Scholarship, Leadership, Character, and Service.",0
525,What is board of regents?,the board of regents is the highest policy making body of a chartered state university.,The Board of Regents is the highest policy making body of a chartered State University.,0
526,Are students represented in the board of regents?,the duly elected chairperson of the bicol university student council who shall serve as the student regent represents the students in the board of regents.,The duly elected Chairperson of the Bicol University Student Council who shall serve as the Student Regent represents the Students in the Board of Regents.,0
527,Representations of students in board of regents,the duly elected chairperson of the bicol university student council who shall serve as the student regent represents the students in the board of regents.,The duly elected Chairperson of the Bicol University Student Council who shall serve as the Student Regent represents the Students in the Board of Regents.,0
528,Are students allowed to do a cross registration within the university?,"yes, a student who needs to register in two or more colleges within the university must seek the permission of his/her college dean in writing.","Yes, a student who needs to register in two or more colleges within the University must seek the permission of his/her College Dean in writing.",0
529,What to write in permission letter for cross registration?,the written permission should state the total number unit-credits for which a student may register in two or more colleges in the university and should not exceed that which is prescribed in the curriculum for his/her course.,The written permission should state the total number unit-credits for which a student may register in two or more colleges in the University and should not exceed that which is prescribed in the curriculum for his/her course.,0
530,Are students outside bicol university allowed to do a cross registration?,a student registered in an institution outside the university who wishes to cross- register in the bicol university must present a permit from his/her dean or registrar.,A student registered in an institution outside the University who wishes to cross- register in the Bicol University must present a permit from his/her Dean or registrar.,0
531,What to write in cross registration permission letter for students outside bicol university?,the permit should state in writing the total number of units which the student is allowed and the subjects that s/he is authorized to take.,The permit should state in writing the total number of units which the student is allowed and the subjects that s/he is authorized to take.,0
532,Are bicol university students allowed to do a cross registration outside the university?,the university gives no credit for any course taken by any of its students in any other institution outside the university unless the taking of such course was authorized by the college dean and the university registrar.,The University gives no credit for any course taken by any of its students in any other institution outside the University unless the taking of such course was authorized by the College Dean and the University Registrar.,0
533,Are students allowed to change their subjects?,"yes, changing of subjects shall be within a week after the close of registration and shall only be allowed upon payment of the corresponding fee and letter approved by the college dean. ","Yes, changing of subjects shall be within a week after the close of registration and shall only be allowed upon payment of the corresponding fee and letter approved by the college dean. ",0
534,Are students allowed to add subjects to their academic load?,"yes, adding of subjects shall be within a week after the close of registration and shall only be allowed upon payment of the corresponding fee and letter approved by the college dean.","Yes, adding of subjects shall be within a week after the close of registration and shall only be allowed upon payment of the corresponding fee and letter approved by the college dean.",0
535,How to shift courses?,you shall file an application for this purpose through the dean of the college where you are presently enrolled to be endorsed to the dean of the college where you plan to continue the new course.,You shall file an application for this purpose through the Dean of the college where you are presently enrolled to be endorsed to the Dean of the college where you plan to continue the new course.,0
536,How to file a leave of absence?,"you will be granted a leave of absence through written petition to the college dean stating the reason and the period, which must not exceed a consecutive period of two terms/ semesters, subject to renewal for very meritorious reasons.","You will be granted a Leave of absence through written petition to the college dean stating the reason and the period, which must not exceed a consecutive period of two terms/ semesters, subject to renewal for very meritorious reasons.",0
537,File a LOA,"you will be granted a leave of absence through written petition to the college dean stating the reason and the period, which must not exceed a consecutive period of two terms/ semesters, subject to renewal for very meritorious reasons.","You will be granted a Leave of absence through written petition to the college dean stating the reason and the period, which must not exceed a consecutive period of two terms/ semesters, subject to renewal for very meritorious reasons.",0
538,I failed in one subject,"if you fail in one subject at any time, in succeeding term, you must carry a load which in one subject (of equivalent unit) less the load allowed for your course during the current semester.","If you fail in one subject at any time, in succeeding term, you must carry a load which in one subject (of equivalent unit) less the load allowed for your course during the current semester.",0
539,I failed two of my subjects,if you obtained two failing marks at the end of the term will be under probation during the following semester and may be allowed to take not more than seventy — five percent (75%) of the regular load for the semester.,If you obtained two failing marks at the end of the term will be under probation during the following semester and may be allowed to take not more than seventy — five percent (75%) of the regular load for the semester.,0
540,I'm on probation and failed another subject,if you are under probation and still obtains a failing mark in one of his subjects at the end of the term shall be automatically dropped from the rolls of the college.,If you are under probation and still obtains a failing mark in one of his subjects at the end of the term shall be automatically dropped from the rolls of the college.,0
541,I failed three subjects,if you obtained three or more failing grades at the end of the term you will be dropped from the rolls of the college.,If you obtained three or more failing grades at the end of the term you will be dropped from the rolls of the college.,0
542,Is there a tuition fee in Bicol University?,"by virtue of ra 10931 or the universal access to quality tertiary education act, all students pursuing a bachelor’s degree in the university are entitled to free tertiary education starting s.y. 2018-2019.","By virtue of RA 10931 or the Universal Access to Quality Tertiary Education Act, all students pursuing a bachelor’s degree in the University are entitled to free tertiary education starting S.Y. 2018-2019.",0
543,Are there cultural groups in the university?,"there are the groups open for membership: bu magayon dance troupe, teatro bueño, bungcul singers, bu kuerdas (rondalla), bugkos ginikanan - indigenous music ensemble, gamelan and university marching band.","There are the groups open for membership: BU Magayon DANCE TROUPE, TEATRO BUeño, BUNGCUL Singers, BU KUERDAS (Rondalla), BUGKOS Ginikanan - indigenous music ensemble, gamelan and UNIVERSITY MARCHING BAND.",0
544,TES or Tertiary Education Subsidy,"as part of the provisions of ra 10931, this subsidy is made available to students of bicol university who are part of the dswd listahanan 2.0.","As part of the provisions of RA 10931, this subsidy is made available to students of Bicol University who are part of the DSWD Listahanan 2.0.",0
545,Components of NSTP,"the three components are: a. civic welfare training service (cwts), b. literacy training service (lts), and c) reserve officers training corps (rotc).","The three components are: a. Civic Welfare Training Service (CWTS), b. Literacy Training Service (LTS), and c) Reserve Officers Training Corps (ROTC).",0
546,How to enlist in NSTP?,the university nstp office shall forward the schedule of nstp orientation of the different units/colleges of the university to all incoming first year.,The University NSTP Office shall forward the schedule of NSTP orientation of the different units/colleges of the University to all incoming first year.,0
547,What is CWTS?,cwts refers to the program component or activities contributory to the general welfare and the betterment of life for the members of the community or the enrichment of the facilities.,CWTS refers to the program component or activities contributory to the general welfare and the betterment of life for the members of the community or the enrichment of the facilities.,0
548,What is LTS?,"lts refers to the program component designed to train the students to teach literacy and numeracy skills to school children, out-of-school youths and other segments of society in need of their services.","LTS refers to the program component designed to train the students to teach literacy and numeracy skills to school children, out-of-school youths and other segments of society in need of their services.",0
549,What is ROTC?,"rotc is a program component designed to provide military training to tertiary level students in order to motivate, train, organize and mobilize them for national defense preparedness.","ROTC is a program component designed to provide military training to tertiary level students in order to motivate, train, organize and mobilize them for national defense preparedness.",0
550,Are students required to enroll in NSTP?,"in accordance to  republic act 9163, all incoming first year are required to take up nstp as a requirement for graduation in the course that they have enrolled in.","In accordance to  Republic Act 9163, all incoming first year are required to take up NSTP as a requirement for graduation in the course that they have enrolled in.",0
551,Are face to face classes allowed?,the lifting of suspension for face to face classes is only applicable to nursing programs in the university.,The lifting of Suspension for face to face classes is only applicable to Nursing programs in the university.,0
552,Conduct of face to face,the lifting of suspension for face to face classes is only applicable to nursing programs in the university.,The lifting of Suspension for face to face classes is only applicable to Nursing programs in the university.,0
553,Start of f2f Classes,the lifting of suspension for face to face classes is only applicable to nursing programs in the university.,The lifting of Suspension for face to face classes is only applicable to Nursing programs in the university.,0
554,Bicol University Uniform recommended textile and color,the recommended color for bicol university undergraduate uniform is midnight blue and recommended textiles are peach twill or rottenberg fine wool.,The recommended color for Bicol University undergraduate uniform is Midnight blue and recommended textiles are peach twill or rottenberg fine wool.,0
555,BU uniform color,the recommended color for bicol university undergraduate uniform is midnight blue and recommended textiles are peach twill or rottenberg fine wool.,The recommended color for Bicol University undergraduate uniform is Midnight blue and recommended textiles are peach twill or rottenberg fine wool.,0
556,Bicol University Mascot,the name of bu mascot is isko.,The name of BU mascot is Isko.,0
557,University and College Student Publications,"the official student publication of the university is the bicol universitarian, known also as unibe while the different colleges and departments within them may also have their own student publications, governed by their respective editorial policies, and with the supervision of a technical adviser.","The official student publication of the University is the Bicol Universitarian, known also as Unibe while the different colleges and departments within them may also have their own student publications, governed by their respective editorial policies, and with the supervision of a technical adviser.",0
558,official student publication of the University,"the official student publication of the university is the bicol universitarian, known also as unibe while the different colleges and departments within them may also have their own student publications, governed by their respective editorial policies, and with the supervision of a technical adviser.","The official student publication of the University is the Bicol Universitarian, known also as Unibe while the different colleges and departments within them may also have their own student publications, governed by their respective editorial policies, and with the supervision of a technical adviser.",0
559,University Student Council,university student council is the official governmental organization for all bicol university students.,University Student Council is the official governmental organization for all Bicol University students.,0
560,USC,university student council is the official governmental organization for all bicol university students.,University Student Council is the official governmental organization for all Bicol University students.,0
